month,total_trips,total_revenue,avg_distance,avg_fare,avg_tip,avg_tip_pct,total_passengers
2002-12-01,11,337.62,4.540909090909091,20.845454545454547,3.5454545454545454,10.556965564111186,11.0
2008-12-01,10,717.33,12.114999999999998,53.76000000000001,7.8469999999999995,14.833722184248499,10.0
2009-01-01,18,743.47,7.107777777777779,30.433333333333337,2.1372222222222224,11.751873443276182,30.0
2023-12-01,10,224.61999999999998,2.601,14.41,2.627,20.311133833037385,19.0
2024-01-01,2756226,73862255.76010029,3.303298702646336,17.995656132697945,3.4314909263608993,21.169706448695717,3733190.0
2024-02-01,2752814,73645858.84007375,3.4201257694852214,17.922737304446123,3.4559529884691376,21.13023580859609,3694281.0
2024-03-01,3076996,84982159.55010965,3.5854099550339478,18.62491725046283,3.548691616758617,20.76684749226016,4168721.0
2024-04-01,3027877,84751128.5601012,3.618442066834243,18.9159647667337,3.5841636830027475,20.95699016641416,4090562.0
2024-05-01,3237768,92505203.0801157,3.4757900226327365,19.413515878841185,3.6529374217049893,20.578444012424583,4335039.0
2024-06-01,3051502,86266228.60010552,3.82395559301608,19.209623057761327,3.6035838383849312,20.40302351345963,4126504.0
2024-07-01,2729754,77695125.00008239,3.7488643592059647,19.48607162037371,3.5248736113214703,20.326329266696614,3733119.0
2024-08-01,2653060,75805479.33007593,3.904716489638298,19.618311010682536,3.5103697089394506,19.904004429290833,3638191.0
2024-09-01,3076336,89868803.65008855,3.5931844733473786,20.00483389655838,3.7488387809389514,20.269657094180598,4045456.0
2024-10-01,3359297,97124597.65010194,3.571809494665031,19.68596367037699,3.754243679555268,20.654029186758045,4438694.0
2024-11-01,3204012,89582700.61009914,3.352960241721864,19.03424713453054,3.619917665726307,21.941036754315924,4290967.0
2024-12-01,3265249,92646521.09012467,3.356573474182085,19.353471138037296,3.684347999187723,20.504746384560296,4486897.0
2025-01-01,2,68.32,4.495,23.65,4.76,14.380664652567972,5.0
2025-02-01,1,43.25,4.02,29.6,8.65,29.222972972972972,1.0
2025-03-01,2,52.88,2.45,19.8,1.64,14.385964912280699,2.0
2026-06-01,2,86.57,5.760000000000001,24.0,7.4399999999999995,37.7071416898186,2.0
